4, 15, 0.003191358387978832, 0.0035604283135202645, 7, 2, 12, 8, 6, 14, 5, 10, 3, 0, 4, 13, 9, 11, 1, 3, 6, 7, 11, 1, 10, 0, 4, 9, 14, 13, 12, 8, 5, 2
8, 15, 0.003619117973082032, 0.0036778960655589753, 0, 9, 13, 7, 8, 5, 2, 3, 10, 1, 11, 4, 12, 6, 14, 0, 13, 11, 9, 12, 3, 8, 1, 14, 7, 4, 6, 2, 10, 5
12, 15, 0.0039026274159625137, 0.0040466540460165155, 11, 0, 1, 5, 14, 7, 13, 12, 8, 9, 4, 10, 3, 2, 6, 0, 8, 1, 7, 4, 5, 2, 3, 9, 14, 13, 6, 12, 11, 10
16, 15, 0.0042097108104464905, 0.004253087706337205, 8, 13, 14, 2, 7, 0, 12, 11, 5, 1, 10, 3, 9, 4, 6, 4, 9, 5, 10, 0, 1, 8, 2, 7, 3, 12, 11, 14, 6, 13
20, 15, 0.004802550365175876, 0.005150455015779391, 0, 6, 10, 1, 5, 4, 12, 9, 7, 8, 3, 13, 2, 14, 11, 5, 11, 6, 9, 14, 0, 7, 10, 8, 2, 1, 12, 3, 13, 4
24, 15, 0.005356791925206993, 0.006607578686924575, 0, 6, 1, 9, 7, 13, 5, 10, 12, 2, 14, 4, 11, 3, 8, 7, 6, 3, 1, 9, 2, 0, 10, 14, 12, 4, 13, 8, 11, 5
28, 15, 0.006747136941598455, 0.0060467015935353335, 7, 9, 1, 6, 3, 8, 5, 12, 14, 11, 0, 10, 13, 2, 4, 7, 9, 1, 6, 8, 5, 12, 2, 10, 3, 14, 11, 0, 13, 4
32, 15, 0.012309376282071826, 0.013986107265559215, 6, 9, 5, 7, 1, 2, 12, 0, 3, 13, 10, 14, 11, 4, 8, 3, 1, 9, 5, 6, 7, 2, 12, 0, 8, 11, 13, 10, 14, 4
36, 15, 0.017893497625365958, 0.018642006487154302, 1, 9, 5, 3, 6, 7, 12, 0, 10, 13, 14, 8, 11, 2, 4, 1, 3, 9, 5, 12, 6, 7, 0, 11, 10, 2, 14, 4, 8, 13
40, 15, 0.02073891456316505, 0.021382983309252885, 1, 9, 5, 3, 6, 7, 12, 0, 2, 10, 14, 13, 8, 11, 4, 1, 9, 3, 12, 5, 6, 7, 0, 13, 2, 10, 14, 4, 8, 11
44, 15, 0.02327811908152052, 0.02462220969523502, 9, 3, 6, 12, 7, 5, 1, 0, 13, 2, 14, 10, 4, 8, 11, 1, 9, 6, 12, 5, 3, 7, 0, 2, 10, 13, 14, 8, 4, 11
48, 15, 0.026264715762708793, 0.02954246929879118, 1, 3, 9, 5, 6, 7, 12, 0, 13, 2, 10, 14, 4, 8, 11, 9, 6, 7, 12, 3, 1, 5, 0, 2, 10, 13, 14, 4, 8, 11
52, 15, 0.02954246929879118, 0.028814489574879067, 9, 6, 7, 12, 3, 1, 5, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 9, 5, 6, 7, 12, 2, 0, 10, 13, 14, 4, 8, 11
56, 15, 0.030758240906110866, 0.03395532330774205, 3, 1, 9, 5, 6, 7, 12, 0, 2, 10, 14, 13, 4, 8, 11, 3, 1, 9, 5, 6, 7, 12, 0, 2, 10, 13, 14, 4, 8, 11
60, 15, 0.03727485338856328, 0.038642950968619916, 3, 1, 9, 5, 12, 6, 7, 0, 2, 10, 13, 14, 4, 11, 8, 3, 1, 9, 5, 6, 12, 7, 0, 2, 10, 13, 14, 4, 11, 8
64, 15, 0.038642950968619916, 0.0357208132925385, 3, 1, 9, 5, 6, 12, 7, 0, 2, 10, 13, 14, 4, 11, 8, 3, 1, 9, 5, 12, 6, 7, 0, 2, 10, 14, 13, 4, 8, 11
68, 15, 0.04010630683963378, 0.0415729595974218, 3, 1, 9, 5, 12, 6, 7, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 12, 5, 7, 6, 9, 0, 2, 10, 13, 14, 4, 8, 11
72, 15, 0.04471568089964359, 0.04249500827859978, 3, 1, 12, 5, 6, 9, 7, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 12, 9, 6, 7, 0, 2, 10, 14, 13, 4, 8, 11
76, 15, 0.04884952840218091, 0.04884952840218091, 3, 1, 5, 12, 9, 6, 7, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 12, 9, 6, 7, 0, 2, 10, 13, 14, 4, 8, 11
80, 15, 0.04884952840218091, 0.035218963252054605, 3, 1, 5, 12, 9, 6, 7, 0, 2, 10, 13, 14, 4, 8, 11, 1, 3, 5, 12, 7, 6, 9, 0, 2, 10, 13, 4, 14, 8, 11
84, 15, 0.04884952840218091, 0.04567260447258196, 3, 1, 5, 12, 9, 6, 7, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 9, 7, 0, 2, 10, 13, 4, 14, 8, 11
88, 15, 0.04884952840218091, 0.0438811580457283, 3, 1, 5, 12, 9, 6, 7, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 12, 6, 9, 7, 0, 2, 10, 13, 4, 14, 8, 11
92, 15, 0.04884952840218091, 0.04471568089964359, 3, 1, 5, 12, 9, 6, 7, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 12, 5, 6, 9, 7, 0, 2, 10, 13, 14, 4, 8, 11
96, 15, 0.04884952840218091, 0.02610109570674458, 3, 1, 5, 12, 9, 6, 7, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 12, 7, 6, 0, 9, 2, 10, 13, 14, 4, 8, 11
100, 15, 0.04884952840218091, 0.046994431116204265, 3, 1, 5, 12, 9, 6, 7, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 10, 13, 14, 4, 8, 11
104, 15, 0.05136013399838055, 0.05136013399838055, 3, 1, 5, 12, 7, 6, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 12, 7, 6, 9, 0, 2, 10, 13, 14, 4, 8, 11
108, 15, 0.05136013399838055, 0.05136013399838055, 3, 1, 5, 12, 7, 6, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 12, 7, 6, 9, 0, 2, 10, 13, 14, 4, 8, 11
112, 15, 0.05228144954463616, 0.04049004405407163, 3, 1, 5, 12, 6, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 5, 1, 12, 6, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
116, 15, 0.05383147333197526, 0.04577897703916866, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 12, 6, 7, 9, 0, 2, 10, 13, 4, 14, 8, 11
120, 15, 0.05383147333197526, 0.05258346238318545, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 12, 6, 9, 7, 0, 2, 10, 13, 14, 4, 8, 11
124, 15, 0.05383147333197526, 0.03462027593697292, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 5, 1, 12, 6, 7, 9, 0, 2, 10, 13, 4, 14, 8, 11
128, 15, 0.05383147333197526, 0.03462027593697292, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 5, 1, 12, 6, 7, 9, 0, 2, 10, 13, 4, 14, 8, 11
132, 15, 0.05383147333197526, 0.0446034104471077, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
136, 15, 0.05383147333197526, 0.028397634500712428, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 10, 13, 14, 4, 8, 11
140, 15, 0.05383147333197526, 0.047783820101494234, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
144, 15, 0.05383147333197526, 0.028737068254643103, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 13, 10, 14, 4, 8, 11
148, 15, 0.05383147333197526, 0.04489367173049195, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 1, 3, 5, 6, 12, 7, 9, 0, 2, 10, 13, 14, 4, 8, 11
152, 15, 0.05383147333197526, 0.0446034104471077, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
156, 15, 0.05383147333197526, 0.04049004405407163, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 5, 1, 12, 6, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
160, 15, 0.05383147333197526, 0.04379098561484346, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 10, 13, 14, 4, 8, 11
164, 15, 0.05383147333197526, 0.027253700776760943, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 13, 10, 14, 4, 11, 8
168, 15, 0.05383147333197526, 0.047859963696050986, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 10, 13, 4, 14, 8, 11
172, 15, 0.05383147333197526, 0.047859963696050986, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 10, 13, 4, 14, 8, 11
176, 15, 0.05383147333197526, 0.04379098561484346, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 10, 13, 14, 4, 8, 11
180, 15, 0.05383147333197526, 0.04570930622961201, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 12, 6, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
184, 15, 0.05383147333197526, 0.0438428969804069, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 1, 3, 5, 12, 6, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
188, 15, 0.05383147333197526, 0.045721314597612354, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 12, 6, 7, 9, 0, 13, 2, 10, 4, 14, 8, 11
192, 15, 0.05383147333197526, 0.050694779856960054, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 6, 5, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11
196, 15, 0.05383147333197526, 0.05141042793208936, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 13, 10, 4, 14, 8, 11
200, 15, 0.05383147333197526, 0.028737068254643103, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 13, 10, 14, 4, 8, 11
204, 15, 0.05383147333197526, 0.05258492738843651, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 10, 13, 14, 4, 11, 8
208, 15, 0.05383147333197526, 0.05258492738843651, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 10, 13, 14, 4, 11, 8
212, 15, 0.05383147333197526, 0.05501322879578635, 3, 1, 5, 6, 7, 12, 9, 0, 2, 10, 13, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11
216, 15, 0.05501322879578635, 0.04379098561484346, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 10, 13, 14, 4, 8, 11
220, 15, 0.05501322879578635, 0.04296358166696963, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 1, 3, 5, 6, 12, 9, 7, 0, 2, 10, 13, 14, 4, 8, 11
224, 15, 0.05501322879578635, 0.046994431116204265, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 10, 13, 14, 4, 8, 11
228, 15, 0.05501322879578635, 0.046994431116204265, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 10, 13, 14, 4, 8, 11
232, 15, 0.05501322879578635, 0.046994431116204265, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 10, 13, 14, 4, 8, 11
236, 15, 0.05501322879578635, 0.052243426508209144, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 1, 6, 5, 12, 7, 9, 0, 2, 10, 13, 14, 4, 8, 11
240, 15, 0.05501322879578635, 0.024835596459565953, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 1, 5, 6, 7, 12, 0, 9, 2, 13, 10, 14, 4, 8, 11
244, 15, 0.05501322879578635, 0.04954418977232576, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 10, 14, 13, 4, 8, 11
248, 15, 0.05501322879578635, 0.028737068254643103, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 13, 10, 14, 4, 8, 11
252, 15, 0.05501322879578635, 0.05141042793208936, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 13, 10, 4, 14, 8, 11
256, 15, 0.05501322879578635, 0.0446034104471077, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
260, 15, 0.05501322879578635, 0.04379098561484346, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 10, 13, 14, 4, 8, 11
264, 15, 0.05501322879578635, 0.05141042793208936, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 13, 10, 4, 14, 8, 11
268, 15, 0.05501322879578635, 0.046994431116204265, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 10, 13, 14, 4, 8, 11
272, 15, 0.05506440096934477, 0.05647297378385911, 3, 1, 5, 6, 7, 12, 9, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11
276, 15, 0.05647297378385911, 0.028737068254643103, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 13, 10, 14, 4, 8, 11
280, 15, 0.05647297378385911, 0.028737068254643103, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 13, 10, 14, 4, 8, 11
284, 15, 0.05647297378385911, 0.045747925561052824, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 1, 3, 5, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
288, 15, 0.05647297378385911, 0.045747925561052824, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 1, 3, 5, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
292, 15, 0.05647297378385911, 0.045747925561052824, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 1, 3, 5, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
296, 15, 0.05647297378385911, 0.045747925561052824, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 1, 3, 5, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
300, 15, 0.05647297378385911, 0.028737068254643103, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 13, 10, 14, 4, 8, 11
304, 15, 0.05647297378385911, 0.047783820101494234, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
308, 15, 0.05647297378385911, 0.047783820101494234, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
312, 15, 0.05647297378385911, 0.047783820101494234, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
316, 15, 0.05647297378385911, 0.045747925561052824, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 1, 3, 5, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
320, 15, 0.05647297378385911, 0.04269766806453693, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 5, 1, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11
324, 15, 0.05647297378385911, 0.053358896247710154, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 13, 14, 10, 4, 8, 11
328, 15, 0.05647297378385911, 0.0452764501797573, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 9, 7, 2, 0, 13, 10, 14, 4, 8, 11
332, 15, 0.05647297378385911, 0.05459243706029654, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 13, 10, 14, 8, 4, 11
336, 15, 0.05647297378385911, 0.053358896247710154, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 13, 14, 10, 4, 8, 11
340, 15, 0.05647297378385911, 0.0446034104471077, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
344, 15, 0.05647297378385911, 0.053403899468592926, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 6, 5, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
348, 15, 0.05647297378385911, 0.028737068254643103, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 13, 10, 14, 4, 8, 11
352, 15, 0.05647297378385911, 0.045747925561052824, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 1, 3, 5, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
356, 15, 0.05647297378385911, 0.047783820101494234, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
360, 15, 0.05647297378385911, 0.047783820101494234, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
364, 15, 0.05647297378385911, 0.047783820101494234, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
368, 15, 0.05647297378385911, 0.028737068254643103, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 13, 10, 14, 4, 8, 11
372, 15, 0.05647297378385911, 0.05141042793208936, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 13, 10, 4, 14, 8, 11
376, 15, 0.05647297378385911, 0.045747925561052824, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 1, 3, 5, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
380, 15, 0.05647297378385911, 0.045747925561052824, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 1, 3, 5, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
384, 15, 0.05647297378385911, 0.028737068254643103, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 13, 10, 14, 4, 8, 11
388, 15, 0.05647297378385911, 0.03969382951199383, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 1, 3, 6, 5, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
392, 15, 0.05647297378385911, 0.0446034104471077, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
396, 15, 0.05647297378385911, 0.05065422501559312, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 14, 10, 4, 8, 11
400, 15, 0.05647297378385911, 0.04641570840587861, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 13, 14, 10, 8, 4, 11
404, 15, 0.05647297378385911, 0.047783820101494234, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
408, 15, 0.05647297378385911, 0.04779694335870059, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 13, 2, 10, 4, 14, 8, 11
412, 15, 0.05647297378385911, 0.047783820101494234, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
416, 15, 0.05647297378385911, 0.05141042793208936, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 0, 2, 13, 10, 4, 14, 8, 11
420, 15, 0.05647297378385911, 0.03973898769931619, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 13, 10, 4, 14, 8, 11
424, 15, 0.05647297378385911, 0.045747925561052824, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 1, 3, 5, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
428, 15, 0.05647297378385911, 0.045747925561052824, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 1, 3, 5, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
432, 15, 0.05647297378385911, 0.0446034104471077, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
436, 15, 0.05647297378385911, 0.028737068254643103, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 0, 9, 2, 13, 10, 14, 4, 8, 11
440, 15, 0.05647297378385911, 0.0446034104471077, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 5, 1, 6, 12, 7, 9, 0, 2, 13, 10, 14, 4, 8, 11
444, 15, 0.05647297378385911, 0.047783820101494234, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
448, 15, 0.05647297378385911, 0.047783820101494234, 3, 1, 5, 6, 12, 9, 7, 0, 2, 13, 10, 14, 4, 8, 11, 3, 1, 5, 6, 12, 7, 9, 2, 0, 13, 10, 14, 4, 8, 11
